Ship Draw,Lerp Draw,Turret Draw,Planets Draw,Ship Update,Lerp Update,turret Update,planets update
0.00301042,3.28739e-006,4.60234e-005,0.000707199,0.000464343,1.64369e-006,4.10923e-006,0
0.00294796,3.69831e-006,5.01326e-005,0.000690762,0.000311891,1.64369e-006,3.69831e-006,0
0.00290071,3.69831e-006,4.8489e-005,0.000691995,0.000468042,1.23277e-006,3.69831e-006,4.10923e-007
0.0029492,3.69831e-006,5.30091e-005,0.000692817,0.000313945,1.64369e-006,3.69831e-006,4.10923e-007
0.00288674,3.69831e-006,5.25982e-005,0.000691995,0.00047174,1.64369e-006,3.69831e-006,4.10923e-007
0.00282387,3.69831e-006,4.93108e-005,0.000670216,0.000317644,1.64369e-006,3.69831e-006,4.10923e-007
0.00294509,3.69831e-006,5.71183e-005,0.000694871,0.000158205,1.64369e-006,3.28739e-006,0
0.00280373,3.28739e-006,5.30091e-005,0.000678845,0.000475849,1.64369e-006,3.28739e-006,4.10923e-007
0.00294098,3.69831e-006,5.67074e-005,0.000693639,0.000147932,1.64369e-006,3.28739e-006,0
0.00290646,3.69831e-006,5.62965e-005,0.00069405,0.000147932,1.23277e-006,3.28739e-006,0
0.00290441,3.69831e-006,5.62965e-005,0.000693639,0.000454892,1.23277e-006,3.28739e-006,0
0.00290523,3.69831e-006,5.99948e-005,0.000695282,0.000322164,1.64369e-006,3.28739e-006,4.10923e-007
0.00291221,3.69831e-006,6.12276e-005,0.00069446,0.000485711,1.23277e-006,3.69831e-006,0
0.00295084,3.69831e-006,6.65696e-005,0.00069446,0.000166013,1.23277e-006,2.87646e-006,4.10923e-007
0.00274579,1.19168e-005,5.67074e-005,0.00065419,0.000323808,1.23277e-006,3.28739e-006,4.10923e-007
0.00296563,3.69831e-006,6.04057e-005,0.000692406,0.000463522,1.23277e-006,3.28739e-006,4.10923e-007
0.00292454,3.69831e-006,6.12276e-005,0.000693228,0.000328328,1.64369e-006,3.28739e-006,4.10923e-007
0.00290441,3.28739e-006,5.58856e-005,0.000648026,0.000325451,1.64369e-006,2.87646e-006,4.10923e-007
0.00285222,3.69831e-006,5.99948e-005,0.000692406,0.000330793,1.23277e-006,2.87646e-006,4.10923e-007
0.00294632,3.69831e-006,6.04057e-005,0.00072076,0.000579813,1.23277e-006,3.28739e-006,0
0.00282839,3.69831e-006,5.3831e-005,0.000696926,0.00032915,1.64369e-006,3.28739e-006,0
0.00290687,3.69831e-006,6.08167e-005,0.000691173,0.000634466,1.23277e-006,3.28739e-006,4.10923e-007
0.00289906,3.69831e-006,6.08167e-005,0.000712952,0.000313124,1.64369e-006,3.28739e-006,0
0.0029644,3.28739e-006,5.62965e-005,0.000731854,0.000143001,1.64369e-006,2.87646e-006,0
0.00282633,3.28739e-006,5.71183e-005,0.000651724,0.000484479,1.64369e-006,3.28739e-006,0
0.00289619,3.69831e-006,6.65696e-005,0.000652135,0.000517352,1.64369e-006,3.69831e-006,0
0.0027762,3.28739e-006,5.50637e-005,0.000737196,0.000468453,1.64369e-006,2.87646e-006,4.10923e-007
0.00273716,3.69831e-006,6.69805e-005,0.000660354,0.000513654,1.64369e-006,3.28739e-006,4.10923e-007
0.00280085,3.28739e-006,5.67074e-005,0.000652135,0.000334903,1.23277e-006,3.28739e-006,0
0.00293481,3.28739e-006,5.75293e-005,0.000650492,0.000340245,1.64369e-006,3.28739e-006,0
0.00295618,3.69831e-006,5.75293e-005,0.000668983,0.000147521,1.64369e-006,2.87646e-006,0
0.00292947,3.69831e-006,6.4104e-005,0.000691995,0.000343943,1.64369e-006,3.28739e-006,4.10923e-007
0.00287523,3.69831e-006,6.12276e-005,0.000672681,0.000159438,1.64369e-006,3.28739e-006,0
0.00297508,3.69831e-006,6.08167e-005,0.000668572,0.000159849,1.23277e-006,3.69831e-006,0
0.00285633,3.69831e-006,5.79402e-005,0.000689529,0.000161904,1.64369e-006,3.28739e-006,4.10923e-007
0.00295248,3.28739e-006,5.75293e-005,0.000671038,0.000161493,2.05462e-006,3.28739e-006,0
0.00282715,3.28739e-006,6.08167e-005,0.000653779,0.000149165,1.23277e-006,2.87646e-006,4.10923e-007
0.00288509,3.69831e-006,7.23225e-005,0.000661997,0.000343121,1.23277e-006,3.28739e-006,0
0.00286208,3.69831e-006,6.08167e-005,0.000671449,0.000356271,1.64369e-006,3.28739e-006,0
0.00272237,3.28739e-006,5.42419e-005,0.000724458,0.00072528,1.64369e-006,3.69831e-006,0
0.00278195,3.69831e-006,5.67074e-005,0.000692406,0.000326273,1.23277e-006,3.69831e-006,4.10923e-007
0.00278894,3.28739e-006,5.71183e-005,0.000652546,0.00033819,1.64369e-006,3.28739e-006,4.10923e-007
0.00282099,3.69831e-006,5.71183e-005,0.00067186,0.000561321,1.64369e-006,3.28739e-006,0
0.00292331,3.69831e-006,5.99948e-005,0.00069446,0.000345587,1.23277e-006,3.28739e-006,0
0.00295618,3.28739e-006,5.75293e-005,0.000673503,0.000152453,1.64369e-006,3.28739e-006,0
0.00287605,3.69831e-006,6.08167e-005,0.000671449,0.000167657,1.23277e-006,3.28739e-006,0
0.00296152,4.10923e-006,6.4515e-005,0.000693228,0.000167246,1.23277e-006,3.28739e-006,4.10923e-007
0.00297385,3.69831e-006,6.4104e-005,0.000693228,0.000368187,1.64369e-006,3.28739e-006,4.10923e-007
0.00299317,4.10923e-006,7.97191e-005,0.000696515,0.000371064,1.64369e-006,3.28739e-006,4.10923e-007
0.00293933,3.69831e-006,6.04057e-005,0.000694871,0.000527215,1.64369e-006,3.69831e-006,0
0.00283126,3.28739e-006,6.12276e-005,0.000652546,0.000147521,1.23277e-006,2.87646e-006,4.10923e-007
